Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004
"06037430724","14000US06037430724","Census Tract 4307.24","Census Tract 4307.24, Los Angeles County, California","ca","140","00","ACSSF","0005152",,,,,"06","037",,,,"430724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378,335,1136,1907
"06037430801","14000US06037430801","Census Tract 4308.01","Census Tract 4308.01, Los Angeles County, California","ca","140","00","ACSSF","0005153",,,,,"06","037",,,,"430801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4836,238,1999,2599
"06037430802","14000US06037430802","Census Tract 4308.02","Census Tract 4308.02, Los Angeles County, California","ca","140","00","ACSSF","0005154",,,,,"06","037",,,,"430802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3305,355,1073,1877
"06037430803","14000US06037430803","Census Tract 4308.03","Census Tract 4308.03, Los Angeles County, California","ca","140","00","ACSSF","0005155",,,,,"06","037",,,,"430803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967,237,1805,1925
"06037430901","14000US06037430901","Census Tract 4309.01","Census Tract 4309.01, Los Angeles County, California","ca","140","00","ACSSF","0005156",,,,,"06","037",,,,"430901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3202,380,1820,1002
"06037430902","14000US06037430902","Census Tract 4309.02","Census Tract 4309.02, Los Angeles County, California","ca","140","00","ACSSF","0005157",,,,,"06","037",,,,"430902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3399,363,1740,1296
"06037431001","14000US06037431001","Census Tract 4310.01","Census Tract 4310.01, Los Angeles County, California","ca","140","00","ACSSF","0005158",,,,,"06","037",,,,"431001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5076,579,2622,1875
"06037431002","14000US06037431002","Census Tract 4310.02","Census Tract 4310.02, Los Angeles County, California","ca","140","00","ACSSF","0005159",,,,,"06","037",,,,"431002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322,140,1449,733
"06037431100","14000US06037431100","Census Tract 4311","Census Tract 4311, Los Angeles County, California","ca","140","00","ACSSF","0005160",,,,,"06","037",,,,"431100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4653,746,2552,1355
"06037431200","14000US06037431200","Census Tract 4312","Census Tract 4312, Los Angeles County, California","ca","140","00","ACSSF","0005161",,,,,"06","037",,,,"431200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,1178,2187,730
"06037431300","14000US06037431300","Census Tract 4313","Census Tract 4313, Los Angeles County, California","ca","140","00","ACSSF","0005162",,,,,"06","037",,,,"431300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,146,1026,765
"06037431400","14000US06037431400","Census Tract 4314","Census Tract 4314, Los Angeles County, California","ca","140","00","ACSSF","0005163",,,,,"06","037",,,,"431400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3076,412,1592,1072
"06037431501","14000US06037431501","Census Tract 4315.01","Census Tract 4315.01, Los Angeles County, California","ca","140","00","ACSSF","0005164",,,,,"06","037",,,,"431501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3455,517,1849,1089
"06037431502","14000US06037431502","Census Tract 4315.02","Census Tract 4315.02, Los Angeles County, California","ca","140","00","ACSSF","0005165",,,,,"06","037",,,,"431502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3073,302,1806,965
"06037431600","14000US06037431600","Census Tract 4316","Census Tract 4316, Los Angeles County, California","ca","140","00","ACSSF","0005166",,,,,"06","037",,,,"431600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3122,220,1360,1542
"06037431700","14000US06037431700","Census Tract 4317","Census Tract 4317, Los Angeles County, California","ca","140","00","ACSSF","0005167",,,,,"06","037",,,,"431700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4729,568,1514,2647
"06037431800","14000US06037431800","Census Tract 4318","Census Tract 4318, Los Angeles County, California","ca","140","00","ACSSF","0005168",,,,,"06","037",,,,"431800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223,560,1831,1832
"06037431900","14000US06037431900","Census Tract 4319","Census Tract 4319, Los Angeles County, California","ca","140","00","ACSSF","0005169",,,,,"06","037",,,,"431900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089,347,1387,1355
